id,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
10854,wro4j,ro.isdc.wro.extensions.model.factory.testconfigurablemodelfactory.shouldhavemorethanoneavailablestrategy,0.01036269,0.0,0.0,0.0212766,0.0,0.0,0.0,0.0,0.0,0.0,0.001949318,0.001057604,0.04310345,0.09375,0.02229846,0.02605863,0.01945525,0.00956229,0.03682449,0.02201618,0.0,0.0,0.0,0.0461437,0.0,FALSE
10855,wro4j,ro.isdc.wro.extensions.model.factory.testconfigurablemodelfactory.shouldusecorrectdefaultstrategy,0.01036269,0.0,0.0,0.0212766,0.0,0.0,0.0,0.0,0.0,0.0,0.001949318,0.001057604,0.04310345,0.09375,0.02229846,0.02605863,0.01945525,0.00956229,0.03682449,0.02201618,0.0,0.0,0.0,0.0461437,0.0,FALSE
10856,wro4j,ro.isdc.wro.extensions.model.factory.testconfigurablemodelfactory.cannotconfigureinvalidstrategy,0.02590674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001949318,0.001057604,0.04310345,0.09375,0.02229846,0.02605863,0.01945525,0.00956229,0.03682449,0.02201618,0.0,0.0,0.0,0.0461437,0.0,FALSE
10859,wro4j,ro.isdc.wro.extensions.model.factory.testjsonmodelfactory.testinvalidstream,0.04145078,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00201323,7.050694e-05,0.00862069,0.171875,0.01200686,0.01465798,0.01361868,0.01333333,0.05595409,0.03483414,0.0,0.0,0.0,0.0461437,0.0,FALSE
10861,wro4j,ro.isdc.wro.extensions.model.factory.testjsonmodelfactory.testinvalidcontent,0.04145078,0.25,0.06211724,0.0212766,0.0,0.02380952,0.0,0.0,0.0,0.0,0.00201323,7.050694e-05,0.00862069,0.171875,0.01200686,0.01465798,0.01361868,0.01333333,0.05595409,0.03483414,0.0,0.0,0.0,0.0461437,0.0,FALSE
10863,wro4j,ro.isdc.wro.extensions.model.factory.testjsonmodelfactory.createvalidmodel,0.05699482,0.25,0.1397638,0.0212766,0.0,0.02380952,0.0,0.0,0.0,0.0,0.00201323,7.050694e-05,0.00862069,0.171875,0.01200686,0.01465798,0.01361868,0.01333333,0.05595409,0.03483414,0.0,0.0,0.0,0.0461437,0.0,FALSE
10865,wro4j,ro.isdc.wro.extensions.model.factory.testjsonmodelfactory.createincompletemodel,0.0880829,0.5,0.1552931,0.06382979,0.0,0.02380952,0.0,0.0,0.04761905,0.0,0.00201323,7.050694e-05,0.00862069,0.171875,0.01200686,0.01465798,0.01361868,0.01333333,0.05595409,0.03483414,0.0,0.0,0.0,0.0461437,0.0,FALSE
10867,wro4j,ro.isdc.wro.extensions.model.factory.testjsonmodelfactory.shouldbethreadsafe,0.08290155,0.25,0.0328856,0.0212766,0.0,0.02380952,0.0,0.0,0.0,0.0,0.00201323,7.050694e-05,0.00862069,0.171875,0.01200686,0.01465798,0.01361868,0.01333333,0.05595409,0.03483414,0.0,0.0,0.0,0.0461437,0.0,FALSE
10871,wro4j,ro.isdc.wro.extensions.model.factory.testgroovymodelfactory.testinvalidstream,0.04145078,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002364746,7.050694e-05,0.00862069,0.15625,0.01200686,0.01302932,0.01167315,0.01212121,0.05117169,0.03143868,0.0,0.0,0.0,0.0461437,0.0,FALSE
10873,wro4j,ro.isdc.wro.extensions.model.factory.testgroovymodelfactory.createvalidmodel,0.1036269,0.25,0.5590552,0.0212766,0.0,0.02380952,0.0,0.0,0.0,0.0,0.002364746,7.050694e-05,0.00862069,0.15625,0.01200686,0.01302932,0.01167315,0.01212121,0.05117169,0.03143868,0.0,0.0,0.0,0.0461437,0.0,FALSE
